,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,logit_score
613,613,Portugal,"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",Paço de São Lourenço,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde),Portuguese White,Solar de Pinheiro,0
723,723,Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias,0
726,726,Portugal,"A rose pink colored wine that is dry and with ripe fruit. Its acidity contrasts with the warm red-berry fruit and the edge of tannin. There is a peppery, crisp aftertaste.",Casa de Paços,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),Rosé,Quinta de Paços,0
907,907,Portugal,"A fresh lemon-flavored wine with crisp acidity balanced by warmer white-stone fruit. It is fruity, showing a touch of toast and almonds. Drink now.",Bruto,87,30.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Bruto Avesso (Vinho Verde),Avesso,Casa de Vilacetinho,0
927,927,Portugal,"This is crisp and fresh medium-sweet wine. It is bright with red-currant acidity and ripe with a strawberry and cream flavor. The wine is clean, lively and, of course, ready to drink.",Casal Garcia Rosé,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda,0
1279,1279,Portugal,"A just off-dry Vinho Verde, fresh and spritzy. Acidity, sweet apples and a breezy citrus edge combine easily and lightly. Ready to drink.",Praia,84,,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2010 Praia White (Vinho Verde),Portuguese White,Aveleda,0
1308,1308,Portugal,"This blend of Alvarinho and Trajadura is initially crisp and fresh. Gradually, it broadens out into a rich wine with a blend between lemon and yellow fruits that is delicious and concentrated. This tangy wine is developing well, and is ready to drink now although it will age.",Torre de Menagem Escolha,89,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2014 Torre de Menagem Escolha White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
1555,1555,Portugal,This is a soft wine with its creamy fruits assimilated into the tangy texture. There is plenty of acidity to give this wine its cool character as well as its citrus and green-apple flavors. Drink now.,Arca Nova Branco,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta das Arcas 2016 Arca Nova Branco White (Vinho Verde),Portuguese White,Quinta das Arcas,0
2094,2094,Portugal,"A fine, crisp wine, with delicious green apple flavors and a tang of lime, a touch of yeast, and a dry, fresh aftertaste. There's a delicious bite to this fragrant wine.",Solar de Serrade,87,17.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Serrade 2006 Solar de Serrade Alvarinho (Vinho Verde),Alvarinho,Quinta de Serrade,0
2273,2273,Portugal,"Crisp. dry and fruity, this wine has a light touch of citrus and fresh acidity. Fruity with a slight sparkle, it's an ideal apéritif.",Azul Portugal Escolha,85,11.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2012 Azul Portugal Escolha White (Vinho Verde),Portuguese White,Wines & Winemakers,0
2381,2381,Portugal,"This is the lightest in a series of wines featuring the Avesso grape. Herbal, crisp and with plenty of acidity, it's also fruity and ready to drink.",Avesso & Azal,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 Avesso & Azal White (Vinho Verde),Portuguese White,Casa de Vilacetinho,0
2782,2782,Portugal,This is a fresh and fragrant rosé from the Vinho Verde region. It has light acidity and a red fruit flavor. The lightest prickle gives just that extra lift.,Espadeiro,84,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Gomariz 2011 Espadeiro Rosé (Vinho Verde),Rosé,Quinta de Gomariz,0
2799,2799,Portugal,"This is a lively, off-dry wine with intense acidity to accompany its crisp apple and citrus flavors. Very fruity, it's ready to drink now. Screwcap.",Trevo,84,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta do Portal 2011 Trevo White (Vinho Verde),Portuguese White,Quinta do Portal,0
